Question (AR),Question (EN),Answer (AR),Answer (EN),Category (AR),Subcategory (AR),Category (EN),Subcategory (EN)
ما اسم أطول طريق في السعودية؟,What is the longest road in Saudi Arabia?,طريق الملك فهد,King Fahd Road,🌍 جغرافيا,,🌍 Geography,
هل تقع أوروبا شمال أم جنوب خط الاستواء؟,Is Europe north or south of the Equator?,شمال خط الاستواء,North of the Equator,🌍 جغرافيا,,🌍 Geography,
ما اسم النشيد الوطني الأردني؟,What is the national anthem of Jordan called?,السلام الملكي الأردني,The Royal Jordanian Anthem,🌍 جغرافيا,,🌍 Geography,
أي دولة عربية لديها أكبر احتياطي نفط؟,Which Arab country has the largest oil reserves?,السعودية,Saudi Arabia,🌍 جغرافيا,,🌍 Geography,
كم دولة عضو في الاتحاد الأوروبي؟,How many member states are there in the European Union?,27,27,🌍 جغرافيا,,🌍 Geography,
ما أخفض نقطة على سطح اليابسة؟,What is the lowest point on Earth's land surface?,البحر الميت (حوالي −430 متر),Dead Sea (approximately -430 meters),🌍 جغرافيا,,🌍 Geography,
ما اسم أشهر سوق في دمشق؟,What is the most famous market (souq) in Damascus?,سوق الحميدية,Al-Hamidiyah Souq,🌍 جغرافيا,,🌍 Geography,
إلى أي منطقتين إداريتين تُقسم فلسطين؟,Into which two administrative regions is Palestine divided?,الضفة الغربية وقطاع غزة,The West Bank and the Gaza Strip,🌍 جغرافيا,,🌍 Geography,
ما هي الجبنة الأساسية في بيتزا المارغريتا الأصلية؟,What is the main cheese used in the original Margherita pizza?,موزاريلا,Mozzarella,🍽️ الطعام والمأكولات,,🍽️ Food & Cuisine,
ما اسم الأكلة اليمنية المشهورة بالأرز واللحم؟,What is the famous Yemeni dish made with rice and meat?,مندي,Mandi,🍽️ الطعام والمأكولات,,🍽️ Food & Cuisine,
ما اسم الخبز المصري التقليدي؟,What is the name of the traditional Egyptian bread?,عيش بلدي,Baladi Bread,🍽️ الطعام والمأكولات,,🍽️ Food & Cuisine,
أي بلد أصل طبق الشاورما؟,Which country is the origin of Shawarma?,تركيا,Turkey,🍽️ الطعام والمأكولات,,🍽️ Food & Cuisine,
إلى أي مدينة عربية يُنسب أصل الكنافة؟,To which Arab city is the origin of Kunafa attributed?,نابلس / فلسطين,"Nablus, Palestine",🍽️ الطعام والمأكولات,,🍽️ Food & Cuisine,
ما المكوّن الأساسي في التبولة؟,What is the main ingredient in Tabbouleh?,البقدونس,Parsley,🍽️ الطعام والمأكولات,,🍽️ Food & Cuisine,
ما اسم الطبق الذي يحتوي على الحمص واللبن والخبز؟,"What is the name of the dish that contains chickpeas, yogurt, and bread?",فتة,Fatteh,🍽️ الطعام والمأكولات,,🍽️ Food & Cuisine,
ما اسم الحلوى الأردنية المشهورة؟,What is the famous Jordanian dessert?,كنافة,Kunafa,🍽️ الطعام والمأكولات,,🍽️ Food & Cuisine,
أي بلد يُنسب إلها أصل الكرواسون تاريخياً؟,Which country is historically credited as the origin of the croissant?,النمسا,Austria,🍽️ الطعام والمأكولات,,🍽️ Food & Cuisine,
ما اسم الخبز الفلسطيني التقليدي؟,What is the name of the traditional Palestinian bread?,خبز الطابون,Taboon Bread,🍽️ الطعام والمأكولات,,🍽️ Food & Cuisine,
من أي بلد يعود أصل طبق الباييلا (Paella)؟,From which country does the dish Paella originate?,إسبانيا,Spain,🍽️ الطعام والمأكولات,,🍽️ Food & Cuisine,
أي فاكهة مشهورة في مصر صيفاً؟,Which fruit is especially popular in Egypt during the summer?,المانغا,Mango,🍽️ الطعام والمأكولات,,🍽️ Food & Cuisine,
بأي سنة صدر فيلم Avatar الأول؟,In what year was the first Avatar movie released?,2009,2009,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
بأي سنة صدر مسلسل باب الحارة لأول مرة؟,In what year was the TV series Bab Al-Hara first released?,2006,2006,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
من هو بطل مسلسل Game of Thrones؟,Who is the main protagonist of Game of Thrones?,كيت هارينغتون,Kit Harington,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
من هو بطل فيلم Joker (2019)؟,Who is the main character of the movie Joker (2019)?,واكين فينيكس,Joaquin Phoenix,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
من هو الفنان الملقب بعبقري الطرب؟,"Which artist is known as the ""Genius of Arabic Singing""?",صباح فخري,Sabah Fakhri,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
من هو مخرج فيلم Titanic؟,Who directed the movie Titanic?,جيمس كاميرون,James Cameron,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
بأي سنة نزلت الأغنية بوس الواوا؟,In what year was the song Boos El Wawa released?,2006,2006,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
بأي سنة صدر فيلم Titanic؟,In what year was the movie Titanic released?,1997,1997,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
من هو والد الفنان زياد الرحباني؟,Who is the father of the artist Ziad Rahbani?,عاصي الرحباني,Assi Rahbani,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
أي شركة إنتاج عربية شهيرة دعمت الأغنية ببداية الالفنيات؟,Which famous Arab production company supported songs in the early 2000s?,روتانا,Rotana,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
ما اسم المسرحية التي تتضمن أغنية «كان عنا طاحون»؟,What is the name of the play that includes the song Kan Enna Tahoun?,بيّاع الخواتم,The Ring Seller (Bayaa El Khawatem),🎬 أفلام ومسلسلات,,🎬 Movies & TV,
ما عدد أبناء وبنات الفنانة فيروز؟,How many sons and daughters does Fairuz have?,4,4,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
من هو والد الفنان غسان الرحباني؟,Who is the father of the artist Ghassan Rahbani?,الياس الرحباني,Elias Rahbani,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
اي سنة طلعت أغنية بابا لهيفاء وهبي؟,In what year was Haifa Wehbe's song Baba Fein released?,2010,2010,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
من هو بطل فيلم The Matrix؟,Who is the protagonist of The Matrix?,كيانو ريفز,Keanu Reeves,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
من هو المغني المصري الملقب بالهضبة؟,"Which Egyptian singer is known as ""El Hadaba"" (The Plateau)?",عمرو دياب,Amr Diab,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
من هو بطل فيلم Spider-Man (2021)؟,Who is the star of Spider-Man (2021)?,توم هولاند,Tom Holland,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
بأي سنة صدر فيلم Lion King الأصلي؟,In what year was the original The Lion King released?,1994,1994,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
بأي سنة صدر أول فيلم Harry Potter؟,In what year was the first Harry Potter movie released?,2001,2001,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
من هو المغني المعروف بالقفاز الأبيض؟,Which singer was known for the white glove?,Michael Jackson,Michael Jackson,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
من هي الفرقة التي غنّت أغنية Bohemian Rhapsody؟,Which band performed the song Bohemian Rhapsody?,Queen,Queen,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
من هو بطل سلسلة أفلام Mission Impossible؟,Who is the star of the Mission: Impossible film series?,توم كروز,Tom Cruise,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
من هو والد شخصية سيمبا في فيلم الأسد الملك؟,Who is Simba's father in the Lion King?,موفاسا,Mufasa,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
من هو مخرج سلسلة Star Wars الأصلية؟,Who directed the original Star Wars series?,جورج لوكاس,George Lucas,🎬 أفلام ومسلسلات,,🎬 Movies & TV,
أي مغنّي معروف بلقب The King of Rock and Roll؟,"Which singer is known as ""The King of Rock and Roll""?",Elvis Presley,Elvis Presley,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
ما الاسم الحقيقي لفيروز؟,What is Fairuz's real name?,نهاد حداد,Nouhad Haddad,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من الأكبر سنًا: نانسي عجرم أم إليسا؟,Who is older: Nancy Ajram or Elissa?,إليسا,Elissa,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
بأي مهرجان لبناني غنّت فيروز لسنوات عديدة؟,At which Lebanese festival did Fairuz perform for many years?,مهرجانات بعلبك,Baalbek International Festival,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من هو زوج شيرين عبد الوهاب؟,Who is Sherine Abdel Wahab's husband?,حسام حبيب,Hossam Habib,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
ما اسم زوج فيروز؟,What is the name of Fairuz's husband?,عاصي الرحباني,Assi Rahbani,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من الأطول: نانسي عجرم أم إليسا؟,Who is taller: Nancy Ajram or Elissa?,إليسا,Elissa,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من هو زوج بيونسيه؟,Who is Beyoncé's husband?,جاي زي,Jay-Z,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من الأكبر سنًا: عمرو دياب أم كاظم الساهر؟,Who is older: Amr Diab or Kadim Al Sahir?,كاظم الساهر,Kadim Al Sahir,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من الأطول: زياد الرحباني أم ملحم زين؟,Who is taller: Ziad Rahbani or Melhem Zein?,ملحم زين,Melhem Zein,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من هو زوج شيرين رضا السابق؟,Who is Sherine Reda's former husband?,عمرو دياب,Amr Diab,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من هو زوج نانسي عجرم الأول؟,Who was Nancy Ajram's first husband?,فادي الهاشم,Fadi El Hachem,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من الأطول: توم كروز أم براد بيت؟,Who is taller: Tom Cruise or Brad Pitt?,براد بيت,Brad Pitt,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من الأطول: محمد عبده أم عبد المجيد عبد الله؟,Who is taller: Mohammed Abdu or Abdul Majeed Abdullah?,محمد عبده,Mohammed Abdu,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من الأطول: عمرو دياب أم تامر حسني؟,Who is taller: Amr Diab or Tamer Hosny?,تامر حسني,Tamer Hosny,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
أي مدينة لبنانية مشهورة بالمهرجانات الصيفية العالمية؟,Which Lebanese city is famous for its international summer festivals?,بعلبك,Baalbek,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
ما اللقب الأشهر لفيروز؟,What is Fairuz's most famous title (nickname)?,سفيرة لبنان إلى النجوم,Lebanon's Ambassador to the Stars,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من هو زوج صباح الأخير؟,Who was Sabah's last husband?,فادي لبنان,Fadi Lebanon,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من هو زوج منى زكي؟,Who is Mona Zaki's husband?,أحمد حلمي,Ahmed Helmy,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
في ماذا تستخدم خطوط الطول؟,What are lines of longitude used for?,الوقت,Time,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من هو زوج كيم كارداشيان السابق؟,Who is Kim Kardashian's former husband?,كانييه ويست,Kanye West,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من هو زوج ريهانا؟,Who is Rihanna's husband?,لم تتزوج,She has never been married,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
في من أحياء بيروت كبرت فيروز؟,In which Beirut neighborhood did Fairuz grow up?,زقاق البلاط,Zuqaq al-Blat,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
أي سنة توفّي عاصي الرحباني؟,In what year did Assi Rahbani pass away?,1986,1986,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من هو زوج جورج كلوني؟,Who is George Clooney's wife?,أمل علم الدين,Amal Clooney,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من هو زوج بليك ليفلي؟,Who is Blake Lively's husband?,رايان رينولدز,Ryan Reynolds,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من هو زوج ميغان ماركل؟,Who is Meghan Markle's husband?,الأمير هاري,Prince Harry,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من الأطول: شاكيرا أم جنيفر لوبيز؟,Who is taller: Shakira or Jennifer Lopez?,جنيفر لوبيز,Jennifer Lopez,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
من الأطول: محمد رمضان أم عمرو دياب؟,Who is taller: Mohamed Ramadan or Amr Diab?,محمد رمضان,Mohamed Ramadan,🎭 الفن والمشاهير,,🎭 Entertainment & Celebrities,
ما هو أثقل عنصر طبيعي؟,What is the heaviest naturally occurring element?,الأورانيوم,Uranium,🔬 العلوم والطبيعة,الكيمياء,🔬 Science & Nature,Chemistry
ما هو أخف غاز؟,What is the lightest gas?,الهيدروجين,Hydrogen,🔬 العلوم والطبيعة,الكيمياء,🔬 Science & Nature,Chemistry
ما الصيغة الكيميائية للماء؟,What is the chemical formula for water?,H2O,H₂O,🔬 العلوم والطبيعة,الكيمياء,🔬 Science & Nature,Chemistry
ما هو أكثر الغازات وفرة في الغلاف الجوي؟,What is the most abundant gas in Earth's atmosphere?,النيتروجين,Nitrogen,🔬 العلوم والطبيعة,الكيمياء,🔬 Science & Nature,Chemistry
ما هو الكوكب الأكثر سخونة في المجموعة الشمسية؟,What is the hottest planet in the Solar System?,الزهرة,Venus,🔬 العلوم والطبيعة,الفلك,🔬 Science & Nature,Astronomy
كم عدد كواكب المجموعة الشمسية؟,How many planets are in the Solar System?,8,8,🔬 العلوم والطبيعة,الفلك,🔬 Science & Nature,Astronomy
ما هو أكبر كوكب في المجموعة الشمسية؟,What is the largest planet in the Solar System?,المشتري,Jupiter,🔬 العلوم والطبيعة,الفلك,🔬 Science & Nature,Astronomy
ما الكوكب المعروف بالكوكب الأحمر؟,Which planet is known as the Red Planet?,المريخ,Mars,🔬 العلوم والطبيعة,الفلك,🔬 Science & Nature,Astronomy
ما هو أقرب كوكب إلى الشمس؟,Which planet is closest to the Sun?,عطارد,Mercury,🔬 العلوم والطبيعة,الفلك,🔬 Science & Nature,Astronomy
كم يومًا في السنة الكبيسة؟,How many days are there in a leap year?,366,366,🔬 العلوم والطبيعة,علوم الأرض,🔬 Science & Nature,Earth Science
كم ثانية في الساعة؟,How many seconds are there in an hour?,3600,3600,🔬 العلوم والطبيعة,علوم الأرض,🔬 Science & Nature,Earth Science
ما هو أكبر ثدييات في العالم؟,What is the largest mammal in the world?,الحوت الأزرق,Blue Whale,🔬 العلوم والطبيعة,النباتات والحيوانات,🔬 Science & Nature,Plants & Animals
أي عالم اكتشف الجاذبية؟,Which scientist discovered gravity?,إسحاق نيوتن,Isaac Newton,🔬 العلوم والطبيعة,العلماء والاكتشافات,🔬 Science & Nature,Scientists & Discoveries
أي عالم اكتشف نظرية التطور؟,Which scientist developed the theory of evolution?,تشارلز داروين,Charles Darwin,🔬 العلوم والطبيعة,العلماء والاكتشافات,🔬 Science & Nature,Scientists & Discoveries
أي عالم اخترع الهاتف؟,Which scientist invented the telephone?,ألكسندر غراهام بيل,Alexander Graham Bell,🔬 العلوم والطبيعة,العلماء والاكتشافات,🔬 Science & Nature,Scientists & Discoveries
ما اسم الغدة التي تتحكم بنسبة السكر في الدم؟,What is the name of the gland that controls blood sugar levels?,البنكرياس,Pancreas,🔬 العلوم والطبيعة,جسم الإنسان,🔬 Science & Nature,Human Body
ما اسم الجهاز المسؤول عن ضخ الدم؟,What is the name of the organ responsible for pumping blood?,القلب,Heart,🔬 العلوم والطبيعة,جسم الإنسان,🔬 Science & Nature,Human Body
كم عدد أسنان الإنسان البالغ؟,How many teeth does an adult human have?,32,32,🔬 العلوم والطبيعة,جسم الإنسان,🔬 Science & Nature,Human Body
ما اسم أطول عظم في الجسم؟,What is the longest bone in the human body?,عظم الفخذ,Femur,🔬 العلوم والطبيعة,جسم الإنسان,🔬 Science & Nature,Human Body
كم عدد رئات الإنسان؟,How many lungs does a human have?,2,2,🔬 العلوم والطبيعة,جسم الإنسان,🔬 Science & Nature,Human Body
كم طبقة في جلد الإنسان؟,How many layers does human skin have?,ثلاث طبقات رئيسية,Three main layers,🔬 العلوم والطبيعة,جسم الإنسان,🔬 Science & Nature,Human Body
كم فصيلة دم لدى الإنسان؟,How many blood types are there in humans?,"4 (A, B, AB, O)","4 (A, B, AB, O)",🔬 العلوم والطبيعة,جسم الإنسان,🔬 Science & Nature,Human Body
ما اسم الجزيء الوراثي؟,What is the name of the genetic molecule?,DNA,DNA,🔬 العلوم والطبيعة,علم الأحياء,🔬 Science & Nature,Biology
بأي محافظة اردنية تقع البتراء؟,In which Jordanian governorate is Petra located?,معان,Ma'an,🧠 معلومات عامة,,🧠 General Knowledge,
أي شركة تملك واتساب؟,Which company owns WhatsApp?,ميتا (فيسبوك),Meta (Facebook),🧠 معلومات عامة,,🧠 General Knowledge,
أي دولة أكبر مصنّع في العالم؟,Which country is the world's largest manufacturer?,الصين,China,🧠 معلومات عامة,,🧠 General Knowledge,
أي عملة تُستخدم في التجارة النفطية الدولية؟,Which currency is used in international oil trade?,الدولار الأمريكي,US Dollar,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم الشجرة الرمزية لفلسطين؟,What is the symbolic tree of Palestine?,الزيتون,Olive Tree,🧠 معلومات عامة,,🧠 General Knowledge,
أي شركة تملك يوتيوب؟,Which company owns YouTube?,غوغل,Google,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم أقدم جامعة في العالم؟,What is the oldest university in the world?,جامعة القرويين في المغرب,University of Al Quaraouiyine (Morocco),🧠 معلومات عامة,,🧠 General Knowledge,
أي حضارة بنت الكولوسيوم؟,Which civilization built the Colosseum?,الرومانية,Roman Civilization,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم أعلى شلال في لبنان؟,What is the highest waterfall in Lebanon?,شلالات جزين,Jezzine Waterfalls,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم الأسلوب الفني الذي اتبعه بيكاسو؟,What artistic style is Pablo Picasso known for?,التكعيبية,Cubism,🧠 معلومات عامة,,🧠 General Knowledge,
من هو مؤلف رواية «زقاق المدق»؟,Who is the author of the novel Midaq Alley?,نجيب محفوظ,Naguib Mahfouz,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم الفرقة الموسيقية التي أسسها الأخوان رحباني مع فيروز؟,What is the name of the musical group founded by the Rahbani Brothers with Fairuz?,فرقة الأنوار,Al Anwar Ensemble,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم أقدم صحيفة لبنانية؟,What is the oldest newspaper in Lebanon?,النهار,An-Nahar,🧠 معلومات عامة,,🧠 General Knowledge,
بأي سنة انتهت الحرب العالمية الثانية؟,In what year did World War II end?,1945,1945,🧠 معلومات عامة,,🧠 General Knowledge,
أي بلد عربي مشهور بالكسكسي؟,Which Arab country is famous for couscous?,المغرب,Morocco,🧠 معلومات عامة,,🧠 General Knowledge,
أي بلد أصل طبق المنسف؟,Which country is the origin of Mansaf?,الأردن,Jordan,🧠 معلومات عامة,,🧠 General Knowledge,
كم حرفًا في الأبجدية الإنجليزية؟,How many letters are there in the English alphabet?,26,26,🧠 معلومات عامة,,🧠 General Knowledge,
أي شركة صنعت XBox؟,Which company manufactures the Xbox?,مايكروسوفت,Microsoft,🧠 معلومات عامة,,🧠 General Knowledge,
من الأطول: كيفن دورانت أم كوبي براينت؟,Who is taller: Kevin Durant or Kobe Bryant?,كيفن دورانت,Kevin Durant,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم النظام الحاكم في الأردن؟,What is the system of government in Jordan?,ملكي,Monarchy,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم العملة الرسمية في الأردن؟,What is the official currency of Jordan?,الدينار الأردني,Jordanian Dinar,🧠 معلومات عامة,,🧠 General Knowledge,
من الأطول: رامي عياش أم وائل كفوري؟,Who is taller: Rami Ayach or Wael Kfoury?,وائل كفوري,Wael Kfoury,🧠 معلومات عامة,,🧠 General Knowledge,
من هو مؤلف رواية «أولاد حارتنا»؟,Who is the author of the novel Children of Gebelawi?,نجيب محفوظ,Naguib Mahfouz,🧠 معلومات عامة,,🧠 General Knowledge,
من يُلقّب بشاعر الكلمة العربية؟,"Who is known as the ""Poet of the Arabic Word""?",المتنبي,Al-Mutanabbi,🧠 معلومات عامة,,🧠 General Knowledge,
من هو رئيس السلطة الفلسطينية الحالي؟,Who is the current President of the Palestinian Authority?,محمود عباس,Mahmoud Abbas,🧠 معلومات عامة,,🧠 General Knowledge,
أي شركة تملك PlayStation؟,Which company owns PlayStation?,سوني,Sony,🧠 معلومات عامة,,🧠 General Knowledge,
ما هي أقوى عملة بالعالم؟,What is the strongest currency in the world?,الدينار الكويتي,Kuwaiti Dinar,🧠 معلومات عامة,,🧠 General Knowledge,
أي شركة تملك إنستغرام؟,Which company owns Instagram?,ميتا (فيسبوك),Meta (Facebook),🧠 معلومات عامة,,🧠 General Knowledge,
بأي سنة تأسست شركة غوغل؟,In what year was Google founded?,1998,1998,🧠 معلومات عامة,,🧠 General Knowledge,
بأي سنة أُطلقت منصة فيسبوك؟,In what year was Facebook launched?,2004,2004,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم منظمة الدول المصدرة للنفط؟,What is the name of the Organization of the Petroleum Exporting Countries?,أوبك,OPEC,🧠 معلومات عامة,,🧠 General Knowledge,
من هو مؤسس شركة آبل؟,Who founded Apple?,ستيف جوبز,Steve Jobs,🧠 معلومات عامة,,🧠 General Knowledge,
من هو أول عربي فاز بجائزة نوبل في الأدب؟,Who was the first Arab to win the Nobel Prize in Literature?,نجيب محفوظ,Naguib Mahfouz,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم أكبر جيش في العالم؟,Which country has the largest army in the world?,الجيش الصيني,Chinese Army,🧠 معلومات عامة,,🧠 General Knowledge,
ما عدد الدول العربية؟,How many Arab countries are there?,22,22,🧠 معلومات عامة,,🧠 General Knowledge,
من هو شاعر المقاومة الفلسطينية؟,Who is the Palestinian poet of resistance?,محمود درويش,Mahmoud Darwish,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم أكبر شركة نفطية في العالم؟,What is the largest oil company in the world?,أرامكو السعودية,Saudi Aramco,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم أكبر بورصة في العالم؟,What is the largest stock exchange in the world?,بورصة نيويورك,New York Stock Exchange (NYSE),🧠 معلومات عامة,,🧠 General Knowledge,
بأي سنة أُسّس الاتحاد الأوروبي رسمياً؟,In what year was the European Union officially established?,1993,1993,🧠 معلومات عامة,,🧠 General Knowledge,
بأي سنة انتهى الاتحاد السوفياتي رسميًا؟,In what year did the Soviet Union officially dissolve?,1991,1991,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم أقدم جامعة في لبنان؟,What is the oldest university in Lebanon?,الجامعة الأميركية في بيروت,American University of Beirut (AUB),🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم أكبر عضو في جسم الإنسان؟,What is the largest organ in the human body?,الجلد,Skin,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم العملة الرسمية في السعودية؟,What is the official currency of Saudi Arabia?,الريال السعودي,Saudi Riyal,🧠 معلومات عامة,,🧠 General Knowledge,
بأي سنة عُرض أول جزء من برنامج ستار أكاديمي؟,In what year was the first season of Star Academy aired?,2003,2003,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم أقدم حضارة في العالم؟,What is the oldest civilization in the world?,السومرية,Sumerian Civilization,🧠 معلومات عامة,,🧠 General Knowledge,
اذكر2 من الدول اللي نتجت عن تفكّك يوغوسلافيا,Name two countries that emerged from the breakup of Yugoslavia.,سلوفينيا | كرواتيا | البوسنة والهرسك | صربيا | الجبل الأسود | مقدونيا الشمالية,Slovenia / Croatia / Bosnia and Herzegovina / Serbia / Montenegro / North Macedonia,🧠 معلومات عامة,,🧠 General Knowledge,
بأي قضاء لبناني موجودة غابة الأرز؟,In which Lebanese district is the Cedar Forest located?,بشري,Bsharri,🧠 معلومات عامة,,🧠 General Knowledge,
بأي سنة حصلت النكبة الفلسطينية؟,In what year did the Palestinian Nakba occur?,1948,1948,🧠 معلومات عامة,,🧠 General Knowledge,
بأي سنة انسحبت سوريا من لبنان؟,In what year did Syria withdraw from Lebanon?,2005,2005,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم العملة الرسمية في مصر؟,What is the official currency of Egypt?,الجنيه المصري,Egyptian Pound,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم العملة الرسمية في اليابان؟,What is the official currency of Japan?,الين,Japanese Yen,🧠 معلومات عامة,,🧠 General Knowledge,
بأي سنة ظهر الإنترنت للعموم؟,In what year did the Internet become available to the public?,1991,1991,🧠 معلومات عامة,,🧠 General Knowledge,
من هو مؤسس شركة أمازون؟,Who founded Amazon?,جيف بيزوس,Jeff Bezos,🧠 معلومات عامة,,🧠 General Knowledge,
ما اسم نظام تشغيل آبل للهواتف؟,What is Apple's mobile operating system called?,iOS,iOS,🧠 معلومات عامة,,🧠 General Knowledge,
من يُنسب إليه اكتشاف أمريكا بالنسبة لأوروبا عام 1492؟,Who is credited with discovering America for Europe in 1492?,كريستوفر كولومبوس,Christopher Columbus,🏛️ التاريخ,أميركي,🏛️ History,American
في أي عام وصل كريستوفر كولومبوس إلى الأمريكتين لأول مرة؟,In what year did Christopher Columbus first reach the Americas?,1492,1492,🏛️ التاريخ,أميركي,🏛️ History,American
أي امرأة من السكان الأصليين ساعدت مستوطني جيمستاون؟,Which Native American woman assisted the Jamestown settlers?,بوكاهونتاس,Pocahontas,🏛️ التاريخ,أميركي,🏛️ History,American
ما أول مستوطنة إنجليزية دائمة في أمريكا الشمالية؟,What was the first permanent English settlement in North America?,جيمستاون,Jamestown,🏛️ التاريخ,أميركي,🏛️ History,American
في أي عام تأسست جيمستاون؟,In which year was Jamestown founded?,1607,1607,🏛️ التاريخ,أميركي,🏛️ History,American
أي مستعمرة أسسها الحجاج عام 1620؟,Which colony was founded by the Pilgrims in 1620?,مستعمرة بليموث,Plymouth Colony,🏛️ التاريخ,أميركي,🏛️ History,American
ما اسم السفينة التي حملت الحجاج إلى أمريكا؟,What ship carried the Pilgrims to America?,ماي فلاور,Mayflower,🏛️ التاريخ,أميركي,🏛️ History,American
أي عيد يحيي ذكرى وليمة الحصاد التي أقامها الحجاج؟,Which holiday commemorates the Pilgrims' harvest feast?,عيد الشكر,Thanksgiving,🏛️ التاريخ,أميركي,🏛️ History,American
من كان أول رئيس للولايات المتحدة؟,Who was the first President of the United States?,جورج واشنطن,George Washington,🏛️ التاريخ,أميركي,🏛️ History,American
من كان ثاني رئيس للولايات المتحدة؟,Who was the second President of the United States?,جون آدامز,John Adams,🏛️ التاريخ,أميركي,🏛️ History,American
من كان ثالث رئيس للولايات المتحدة؟,Who was the third President of the United States?,توماس جيفرسون,Thomas Jefferson,🏛️ التاريخ,أميركي,🏛️ History,American
أي رئيس أتم صفقة شراء لويزيانا؟,Which president completed the Louisiana Purchase?,توماس جيفرسون,Thomas Jefferson,🏛️ التاريخ,أميركي,🏛️ History,American
في أي عام اكتملت صفقة شراء لويزيانا؟,In what year was the Louisiana Purchase completed?,1803,1803,🏛️ التاريخ,أميركي,🏛️ History,American
أي دولة باعت إقليم لويزيانا إلى الولايات المتحدة؟,Which country sold the Louisiana Territory to the United States?,فرنسا,France,🏛️ التاريخ,أميركي,🏛️ History,American
أي مبنى في العاصمة الأمريكية أحرقه البريطانيون عام 1814؟,Which U.S. capital building was burned by the British in 1814?,البيت الأبيض,White House,🏛️ التاريخ,أميركي,🏛️ History,American
